timestamp,sample_index,phase,frequency_hz,pulse_count,vmin,aperture_voltage
2026-06-18T11:44:13.472931,65,phase1_control,277777800.0,277777800.0,-0.0016,-0.0264026
2026-06-18T11:44:14.594649,66,phase1_control,75757600.0,75757600.0,-0.0008,-0.1841374
2026-06-18T11:44:15.716683,67,phase1_control,1250000000.0,1250000000.0,-0.0016,0.0277038
2026-06-18T11:44:16.838662,68,phase1_control,357142900.0,357142900.0,-0.0016,0.0823832
2026-06-18T11:44:17.961396,69,phase1_control,49019600.0,49019600.0,-0.0008,-0.0409431
2026-06-18T11:44:19.084415,70,phase1_control,416666700.0,416666700.0,-0.0008,-0.0358456
2026-06-18T11:44:20.204837,71,phase1_control,312500000.0,312500000.0,-0.0016,-0.0427373
2026-06-18T11:44:21.327088,72,phase1_control,42372900.0,42372900.0,-0.0008,0.109919
2026-06-18T11:44:22.448810,73,phase1_control,500000000.0,500000000.0,-0.0016,0.0126603
2026-06-18T11:44:23.572055,74,phase1_control,625000000.0,625000000.0,-0.0016,0.0161846
2026-06-18T11:44:24.692603,75,phase1_control,78125000.0,78125000.0,-0.0016,0.0033964
2026-06-18T11:44:25.810398,76,phase1_control,227272700.0,227272700.0,-0.0008,0.1705991
2026-06-18T11:44:26.930249,77,phase1_control,59523800.0,59523800.0,-0.0008,0.0452425
2026-06-18T11:44:28.053074,78,phase1_control,833333300.0,833333300.0,-0.0008,-0.0393409
2026-06-18T11:44:29.175930,79,phase1_control,263157900.0,263157900.0,-0.0008,-0.0254215
2026-06-18T11:44:30.298090,80,phase1_control,147058800.0,147058800.0,-0.0016,0.0058996
2026-06-18T11:44:31.421431,81,phase1_control,39682500.0,39682500.0,-0.0008,-0.0530983
2026-06-18T11:44:32.539776,82,phase1_control,1428600000.0,1428600000.0,-0.0016,-0.0926393
2026-06-18T11:44:33.672380,83,phase1_control,1250000000.0,1250000000.0,-0.0016,0.0876978
2026-06-18T11:44:34.794549,84,phase1_control,416666700.0,416666700.0,-0.0016,-0.0894409
2026-06-18T11:44:35.915700,85,phase1_control,312500000.0,312500000.0,-0.0016,0.0017982
2026-06-18T11:44:37.036712,86,phase1_control,1250000000.0,1250000000.0,-0.0016,0.2250765
2026-06-18T11:44:38.160027,87,phase1_control,625000000.0,625000000.0,-0.0008,0.0667167
2026-06-18T11:44:39.280726,88,phase1_control,44642900.0,44642900.0,-0.0008,-0.2124582
