timestamp,sample_index,phase,frequency_hz,pulse_count,vmin,aperture_voltage
2026-06-18T11:53:07.756544,0,phase1_control,121951200.0,121951200.0,-0.0008,0.1678578
2026-06-18T11:53:08.875971,1,phase1_control,625000000.0,625000000.0,-0.0016,0.0978168
2026-06-18T11:53:09.998261,2,phase1_control,625000000.0,625000000.0,-0.0016,-0.0084558
2026-06-18T11:53:11.124021,3,phase1_control,78125000.0,78125000.0,-0.0008,0.0235224
2026-06-18T11:53:12.250268,4,phase1_control,147058800.0,147058800.0,-0.0008,0.180478
2026-06-18T11:53:13.369929,5,phase1_control,270270300.0,270270300.0,-0.0016,0.0619182
2026-06-18T11:53:14.491063,6,phase1_control,625000000.0,625000000.0,-0.0016,-0.0366377
2026-06-18T11:53:15.608956,7,phase1_control,100000000.0,100000000.0,-0.0008,-0.1428783
2026-06-18T11:53:16.735133,8,phase1_control,69444400.0,69444400.0,-0.0008,-0.0176018
2026-06-18T11:53:17.855865,9,phase1_control,166666700.0,166666700.0,-0.0008,0.2259566
2026-06-18T11:53:18.973284,10,phase1_control,625000000.0,625000000.0,-0.0016,0.1435163
2026-06-18T11:53:20.095856,11,phase1_control,1250000000.0,1250000000.0,-0.0016,-0.0643204
2026-06-18T11:53:21.217588,12,phase1_control,1250000000.0,1250000000.0,-0.0016,-0.0347195
2026-06-18T11:53:22.340619,13,phase1_control,250000000.0,250000000.0,-0.0016,-0.0225563
2026-06-18T11:53:23.462049,14,phase1_control,625000000.0,625000000.0,-0.0016,0.2425663
2026-06-18T11:53:24.579087,15,phase1_control,51020400.0,51020400.0,-0.0008,0.1537764
2026-06-18T11:53:25.699749,16,phase1_control,62500000.0,62500000.0,-0.0008,-0.0168017
2026-06-18T11:53:26.820697,17,phase1_control,416666700.0,416666700.0,-0.0016,-0.0348795
2026-06-18T11:53:27.942997,18,phase1_control,65789500.0,65789500.0,-0.0008,-0.2153785
2026-06-18T11:53:29.065304,19,phase1_control,125000000.0,125000000.0,-0.0008,0.0942604
2026-06-18T11:53:30.183835,20,phase1_control,833333300.0,833333300.0,-0.0016,0.2251225
2026-06-18T11:53:31.306785,21,phase1_control,344827600.0,344827600.0,-0.0016,0.0159826
2026-06-18T11:53:32.430523,22,phase1_control,277777800.0,277777800.0,-0.0016,-0.1335803
2026-06-18T11:53:33.553859,23,phase1_control,250000000.0,250000000.0,-0.0008,-0.019838
2026-06-18T11:53:34.676228,24,phase1_control,147058800.0,147058800.0,-0.0016,0.1911991
2026-06-18T11:53:35.799209,25,phase1_control,1250000000.0,1250000000.0,-0.0016,0.0235414
