# Ion Count Rate vs. RF Amplitude (V_RF) and Mathieu q-value
# Corresponds to Figures 3.8 and 3.9
# 
# Purpose: characterizes radial (transverse) ion confinement provided by
# the RFQ's RF field, following axial confinement characterization
# (Figure 3.7). RF amplitude directly sets the strength of the radial
# confining pseudopotential; too little confinement loses ions radially,
# while too much can destabilize ion motion via collisional RF heating.
# 1144 kHz was selected as the drive frequency after testing several
# alternatives (Section 3.4.3).
# 
# The Mathieu q-value reinterprets the same scan in terms of the
# dimensionless stability parameter that actually governs confinement,
# computed assuming a rubidium mass (the working assumption for the
# dominant species in the mixed alkali source), via
# q = 2*e*Vpp / (m * r0^2 * Omega^2).
# 
# V_RF carries a systematic uncertainty of ~12.5% from probe and
# voltage-divider calibration on the driver box, applied as a single
# shared offset across all points from a given run; this propagates
# directly into the q uncertainty.
# 
# Columns:
#   v_rf_volts    - RF amplitude, zero-to-peak (V) = Vpp/2
#   v_rf_err_volts- Uncertainty on V_RF (12.5% probe/divider systematic)
#   q             - Mathieu q-value (rubidium mass assumption)
#   q_err         - Uncertainty on q (from the same 12.5% systematic)
#   rate_hz       - Ion count rate (Hz)
#   rate_unc_hz   - Ion count rate uncertainty (Hz)
#   file          - Source .mpa filename
v_rf_volts,v_rf_err_volts,q,q_err,rate_hz,rate_unc_hz,file
2.0,0.25,0.006844057418808463,0.0008555071773510579,8.05656525419509,0.28325375000404107,RFPCB/RF4_1144_12.mpa
12.5,1.5625,0.0427753588675529,0.005346919858444112,12.634100094805648,0.3550810213992754,RFPCB/RF25_1144_12.mpa
25.0,3.125,0.0855507177351058,0.010693839716888224,6.783786749668293,0.2601463464401141,RFPCB/RF50_1144_12.mpa
34.0,4.25,0.11634897611974387,0.014543622014967984,41.65583961302444,0.6452262644293898,RFPCB/RF68_1144_12.mpa
44.0,5.5,0.1505692632137862,0.018821157901723274,41.876967667782715,0.6469462728572188,RFPCB/RF88_1144_12.mpa
51.0,6.375,0.1745234641796158,0.021815433022451976,58.187913436499144,0.7619457069267477,RFPCB/RF102_1144_12.mpa
63.0,7.875,0.2155878086924666,0.026948476086558325,55.578808897392975,0.7442329825898347,RFPCB/RF126_1144_12.mpa
75.0,9.375,0.25665215320531737,0.03208151915066467,73.75694458272766,0.856943977034589,RFPCB/RF150_1144_12.mpa
85.0,10.625,0.29087244029935966,0.03635905503741996,80.85085135067658,0.8985646880073495,RFPCB/RF170_1144_12.mpa
92.0,11.5,0.31482664126518933,0.03935333015814867,89.66143649938117,0.9460084000868628,RFPCB/RF184_1144_12.mpa
100.0,12.5,0.3422028709404232,0.0427753588675529,84.48782431153828,0.9173168964143044,RFPCB/RF200_1144_12.mpa
110.0,13.75,0.37642315803446547,0.04705289475430818,117.13646443054917,1.081679624095334,RFPCB/RF220_1144_12.mpa
117.0,14.625,0.4003773590002951,0.050047169875036886,122.32833559295,1.104300041995524,RFPCB/RF234_1144_12.mpa
127.0,15.875,0.4345976460943374,0.05432470576179217,124.7343371149759,1.115613204034138,RFPCB/RF254_1144_12.mpa
137.0,17.125,0.4688179331883797,0.058602241648547465,114.36095925940705,1.068094554433117,RFPCB/RF274_1144_12.mpa
149.0,18.625,0.5098822777012305,0.06373528471265381,125.30065170311082,1.118265615244649,RFPCB/RF298_1144_12.mpa
159.0,19.875,0.5441025647952729,0.06801282059940911,127.74863879314651,1.1297229428935884,RFPCB/RF318_1144_12.mpa
168.0,21.0,0.5749008231799109,0.07186260289748886,122.51916386726343,1.105122484330355,RFPCB/RF336_1144_12.mpa
177.0,22.125,0.605699081564549,0.07571238519556862,126.27785320661289,1.1227914419965972,RFPCB/RF354_1144_12.mpa
186.0,23.25,0.636497339949187,0.07956216749364838,125.10850586181093,1.1172629218924608,RFPCB/RF372_1144_12.mpa
200.0,25.0,0.6844057418808464,0.0855507177351058,122.5698390859604,1.1054446738395842,RFPCB/RF400_1144_12.mpa
212.0,26.5,0.7254700863936971,0.09068376079921214,118.52599596218042,1.0884026206688762,RFPCB/RF424_1144_12.mpa
226.0,28.25,0.7733784883253563,0.09667231104066953,109.8794940742954,1.0460919064824281,RFPCB/RF452_1144_12.mpa
239.0,29.875,0.8178648615476113,0.10223310769345141,94.07303931351028,0.9688474231840635,RFPCB/RF478_1144_12.mpa
250.0,31.25,0.8555071773510579,0.10693839716888223,98.493557383768,0.9922556537824154,RFPCB/RF500_1144_12.mpa
264.0,33.0,0.9034155792827172,0.11292694741033965,90.35664474995019,0.9487601873527896,RFPCB/RF528_1144_12.mpa
277.5,34.6875,0.9496129668596743,0.11870162085745929,81.34562671318216,0.9004560503220003,RFPCB/RF555_1144_12.mpa
285.0,35.625,0.975278182180206,0.12190977277252575,66.87516236685919,0.817437273824328,RFPCB/RF570_1144_12.mpa
293.0,36.625,1.00265441185544,0.12533180148193,45.529007511587025,0.6743743179486275,RFPCB/RF586_1144_12.mpa
300.0,37.5,1.0266086128212695,0.12832607660265868,29.483858110801116,0.5420156544025168,RFPCB/RF600_1144_12.mpa
312.0,39.0,1.0676729573341202,0.13345911966676502,14.580899022280812,0.3815995680567017,RFPCB/RF624_1144_12.mpa
325.0,40.625,1.1121593305563753,0.1390199163195469,3.7434863337792237,0.19331280303309326,RFPCB/RF650_1144_12.mpa
337.0,42.125,1.153223675069226,0.14415295938365325,3.7041104643616647,0.1923078333874961,RFPCB/RF674_1144_12.mpa
350.0,43.75,1.197710048291481,0.14971375603643514,4.8445256859748485,0.2199785796604361,RFPCB/RF700_1144_12.mpa
